timestamp,aqi,pm2_5,pm10,o3,no2,co,so2,temperature,pressure,humidity,wind_speed,wind_direction,hour,day,day_of_week,month,is_weekend,hour_category
2026-08-09 13:28:37,75,18.53,73.31,39.37,0.06,71.99,0.33,28.46,1002,74,6.95,242,13,9,6,8,1,2
2026-08-08 17:22:18,75,17.85,72.27,37.67,0.1,70.41,0.4,27.36,1003,78,5.93,248,17,8,5,8,1,3
2026-08-10 17:44:31,68,15.31,64.07,38.89,0.08,71.42,0.42,27.13,1002,80,8.34,265,17,10,0,8,0,3
2026-08-08 19:23:00,74,17.42,68.19,37.36,0.1,70.13,0.38,27.35,1004,78,5.5,246,19,8,5,8,1,3
2026-08-09 09:30:49,77,20.09,88.7,40.48,0.05,71.98,0.35,29.82,1002,68,7.15,251,9,9,6,8,1,1
2026-08-09 15:23:37,74,18.33,72.47,38.58,0.08,71.61,0.35,27.61,1003,77,6.83,248,15,9,6,8,1,2
2026-08-10 10:59:39,70,14.99,63.64,37.51,0.06,69.31,0.39,28.9,1000,73,8.86,254,10,10,0,8,0,2
2026-08-09 13:36:59,75,18.45,73.24,38.81,0.08,71.7,0.34,27.91,1002,77,7.1,243,13,9,6,8,1,2
2026-08-09 16:23:34,73,18.19,71.37,38.46,0.08,71.61,0.35,27.4,1004,78,6.95,250,16,9,6,8,1,2
2026-08-08 18:23:41,75,17.66,70.3,37.48,0.1,70.31,0.39,27.32,1003,79,5.73,246,18,8,5,8,1,3
2026-08-09 05:42:23,77,22.08,92.49,40.28,0.07,71.46,0.35,29.09,1004,71,6.71,252,5,9,6,8,1,0
2026-08-09 19:26:26,72,17.7,69.84,39.28,0.08,72.83,0.35,27.32,1004,79,6.77,266,19,9,6,8,1,3
2026-08-10 07:12:37,71,15.83,61.84,39.19,0.06,71.95,0.33,28.87,1003,72,9.21,259,7,10,0,8,0,1
2026-08-09 14:26:08,75,18.45,73.24,38.81,0.08,71.7,0.34,27.91,1002,77,7.1,243,14,9,6,8,1,2
2026-08-09 11:22:15,77,19.4,86.32,39.67,0.06,71.27,0.36,29.41,1002,69,7.19,246,11,9,6,8,1,2
2026-08-10 21:33:33,69,17.29,75.3,37.91,0.1,71.3,0.43,26.97,1000,80,6.89,258,21,10,0,8,0,0
2026-08-10 05:17:58,71,16.47,63.81,39.8,0.07,73.12,0.31,28.01,1004,76,8.14,260,5,10,0,8,0,0
2026-08-10 22:28:08,70,17.29,75.3,37.91,0.1,71.3,0.43,26.97,1000,80,6.89,258,22,10,0,8,0,0
2026-08-10 09:08:29,70,15.36,61.94,38.07,0.06,70.4,0.35,29.12,1001,72,9.19,259,9,10,0,8,0,1
2026-08-09 10:23:44,77,20.09,88.7,40.48,0.05,71.98,0.35,29.82,1002,68,7.15,251,10,9,6,8,1,2
2026-08-09 13:42:40,75,18.45,73.24,38.81,0.08,71.7,0.34,27.91,1002,77,7.1,243,13,9,6,8,1,2
2026-08-09 18:26:53,72,17.9,70.02,38.88,0.08,72.26,0.36,27.47,1005,78,6.99,269,18,9,6,8,1,3
2026-08-10 01:01:07,72,19.02,76.29,40.21,0.08,73.96,0.34,26.91,1003,81,7.44,267,1,10,0,8,0,0
2026-08-10 19:49:05,68,16.68,71.33,38.1,0.09,71.05,0.45,26.9,1001,80,7.51,268,19,10,0,8,0,3
2026-08-09 22:21:15,71,18.33,76.06,41.01,0.08,74.66,0.35,26.99,1002,77,6.59,265,22,9,6,8,1,0
2026-08-09 23:22:43,73,18.72,77.17,41.2,0.08,74.69,0.35,26.92,1002,79,7.19,270,23,9,6,8,1,0
2026-08-09 14:01:30,75,18.45,73.24,38.81,0.08,71.7,0.34,27.91,1002,77,7.1,243,14,9,6,8,1,2
2026-08-10 03:13:37,72,18.3,71.79,39.24,0.09,73.04,0.33,27.23,1004,79,8.04,263,3,10,0,8,0,0
2026-08-08 22:19:40,77,17.81,65.13,37.97,0.1,70.66,0.34,26.99,1002,80,5.98,260,22,8,5,8,1,0
2026-08-10 11:47:06,70,15.08,65.61,37.23,0.07,68.27,0.42,28.5,1000,75,8.46,250,11,10,0,8,0,2
2026-08-09 13:47:37,75,18.45,73.24,38.81,0.08,71.7,0.34,27.91,1002,77,7.1,243,13,9,6,8,1,2
2026-08-10 18:27:06,68,15.31,64.07,38.89,0.08,71.42,0.42,26.92,1002,81,8.05,265,18,10,0,8,0,3
2026-08-09 12:30:15,76,18.52,82.67,38.2,0.08,70.29,0.39,28.4,1002,74,6.95,242,12,9,6,8,1,2
2026-08-09 07:45:59,77,21.32,92.4,41.04,0.05,72.05,0.34,29.71,1003,67,7.14,253,7,9,6,8,1,1
2026-08-10 15:52:03,69,14.58,59.63,38.19,0.08,70.09,0.4,27.26,1002,81,7.23,251,15,10,0,8,0,2
2026-08-09 00:58:52,77,19.8,74.5,38.37,0.1,71.07,0.33,27.07,1003,81,5.5,267,0,9,6,8,1,0
